Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.125003659214601,-0.0484785601734577,-0.0481309408699848,0,0,0,2.11778638017478,0.00613988365171379,-1.35866732419659E-09,-3.41689033922159E-08,0.00705777404836704,2.58304232374191E-08,0.00330034287111452,0,0,0,0,0,0,package://4LEGS/meshes/base_link.STL,0.647058823529412,0.647058823529412,0.647058823529412,1,0,0,0,0,0,0,package://4LEGS/meshes/base_link.STL,,身体上方碳板-2;身体组装-1/身体中央夹板碳板-2;身体组装-1/身体中央夹板碳板-1;身体组装-1/Body_New-1;身体组装-1/身体内侧前板-2;身体组装-1/身体内侧前板2-1;身体组装-1/万向轮基座-5;身体组装-1/万向轮基座-3;身体组装-1/1.5英寸万向轮-6;身体组装-1/1.5英寸万向轮-7;身体组装-1/1.5英寸万向轮-3;身体组装-1/万向轮基座-7;身体组装-1/万向轮基座-8;身体组装-1/1.5英寸万向轮-4;身体组装-1/身体内侧前板2-2;身体组装-1/身体内侧前板-1;身体组装-1/万向轮基座-1;身体组装-1/1.5英寸万向轮-2;身体组装-1/1.5英寸万向轮-8;身体组装-1/万向轮基座-2;身体组装-1/万向轮基座-4;身体组装-1/1.5英寸万向轮-5;身体组装-1/1.5英寸万向轮-1;身体组装-1/万向轮基座-6;关节-8/dm_4340__3d20240822_1(2)(1).stp-1/DM_4340__3D20240325_1_4.stp-1/DM_4340_3D_1_1_1_1_4.stp-1;关节-8/dm_4340__3d20240822_1(2)(1).stp-1/DM_4340__3D20240325_1_4.stp-1/G43_V1_1_3-230824_4.stp-1;关节-8/dm_4340__3d20240822_1(2)(1).stp-1/DM_4340__3D20240325_1_4.stp-1/4310__VER_B0001_1_1_1_1_4.stp-1;关节-4/dm_4340__3d20240822_1(2)(1).stp-1/DM_4340__3D20240325_1_4.stp-1/4310__VER_B0001_1_1_1_1_4.stp-1;关节-4/dm_4340__3d20240822_1(2)(1).stp-1/DM_4340__3D20240325_1_4.stp-1/G43_V1_1_3-230824_4.stp-1;关节-4/dm_4340__3d20240822_1(2)(1).stp-1/DM_4340__3D20240325_1_4.stp-1/DM_4340_3D_1_1_1_1_4.stp-1;关节-1/dm_4340__3d20240822_1(2)(1).stp-1/DM_4340__3D20240325_1_4.stp-1/G43_V1_1_3-230824_4.stp-1;关节-1/dm_4340__3d20240822_1(2)(1).stp-1/DM_4340__3D20240325_1_4.stp-1/4310__VER_B0001_1_1_1_1_4.stp-1;关节-1/dm_4340__3d20240822_1(2)(1).stp-1/DM_4340__3D20240325_1_4.stp-1/DM_4340_3D_1_1_1_1_4.stp-1;关节-7/dm_4340__3d20240822_1(2)(1).stp-1/DM_4340__3D20240325_1_4.stp-1/G43_V1_1_3-230824_4.stp-1;关节-7/dm_4340__3d20240822_1(2)(1).stp-1/DM_4340__3D20240325_1_4.stp-1/4310__VER_B0001_1_1_1_1_4.stp-1;关节-7/dm_4340__3d20240822_1(2)(1).stp-1/DM_4340__3D20240325_1_4.stp-1/DM_4340_3D_1_1_1_1_4.stp-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FL_Link1,0.0075413919439275,4.56405399566415E-05,0.0386082778283537,0,0,0,0.252436609586893,0.000163602528163614,1.58043916114717E-08,2.36465968243228E-06,0.000165919288048051,1.84763723768625E-08,0.000147114667869166,0,0,0,0,0,0,package://4LEGS/meshes/FL_Link1.STL,0.854901960784314,0.854901960784314,0.854901960784314,1,0,0,0,0,0,0,package://4LEGS/meshes/FL_Link1.STL,,JOINT1-5;关节-9/dm_4340__3d20240822_1(2)(1).stp-1/DM_4340__3D20240325_1_4.stp-1/4310__VER_B0001_1_1_1_1_4.stp-1;关节-9/dm_4340__3d20240822_1(2)(1).stp-1/DM_4340__3D20240325_1_4.stp-1/DM_4340_3D_1_1_1_1_4.stp-1;关节-9/dm_4340__3d20240822_1(2)(1).stp-1/DM_4340__3D20240325_1_4.stp-1/G43_V1_1_3-230824_4.stp-1;电机垫板-1,FL_C_Joint1,FL_A_Joint1,FL_Joint1,revolute,-0.0017,0.12305,-0.045,1.5708,0,1.5708,base_link,0,0,-1,9,3.77,-3.14,3.14,,,,,,,,
FL_Link2,-1.97582917486824E-05,0.0478095355570258,0.00949795457524202,0,0,0,0.124068765230541,8.21413695420164E-05,7.42550873664215E-09,-2.87315655585463E-08,3.44293186861105E-05,2.84563230119216E-06,9.22150358483519E-05,0,0,0,0,0,0,package://4LEGS/meshes/FL_Link2.STL,1,1,1,1,0,0,0,0,0,0,package://4LEGS/meshes/FL_Link2.STL,,LEG1-7;dm_3507_3d-241021-8,FL_C_Joint2,FL_A_Joint2,FL_Joint2,revolute,0.0438,0,0.045,0,-1.5708,0,FL_Link1,0,0,-1,9,3.77,-3.14,3.14,,,,,,,,
FL_Link3,5.11236795452605E-05,-0.0160034046894012,0.0367661864356854,0,0,0,0.154593914788053,7.4828680209336E-05,4.10675604592304E-08,-2.91652138375772E-08,8.38192565835953E-05,8.98753675610467E-06,6.20782589403699E-05,0,0,0,0,0,0,package://4LEGS/meshes/FL_Link3.STL,1,1,1,1,0,0,0,0,0,0,package://4LEGS/meshes/FL_Link3.STL,,JOINT2_2-9;DM-J4310-2EC-3,FL_C_Joint3,FL_A_Joint3,FL_Joint3,revolute,0,0.0979,0.01,1.5708,0,3.1416,FL_Link2,0,0,-1,1,15.7,-3.14,3.14,,,,,,,,
FL_Link4,0.000104614920250552,-0.0716988598988787,0.00473606463478796,0,0,0,0.145990873111669,0.000190328503090644,7.71444238881416E-07,1.24048414118942E-07,3.62993303426488E-05,-1.86607654861886E-05,0.000193244014013544,0,0,0,0,0,0,package://4LEGS/meshes/FL_Link4.STL,1,1,1,1,0,0,0,0,0,0,package://4LEGS/meshes/FL_Link4.STL,,LEG2_3-7;dm_3507_3d-241021-9,FL_C_Joint4,FL_A_Joint4,FL_Joint4,revolute,0,0.009,0.04,-1.5708,0,0,FL_Link3,0,0,-1,3,12.56,-3.14,3.14,,,,,,,,
FL_Link5,3.2512908206897E-05,-0.0023524621993824,0.0291397339160281,0,0,0,0.0964186497333119,3.34159847686008E-05,4.71590899623191E-09,-3.57771116735319E-08,3.8865339643509E-05,3.7842639460347E-06,2.76191794299111E-05,0,0,0,0,0,0,package://4LEGS/meshes/FL_Link5.STL,1,1,1,1,0,0,0,0,0,0,package://4LEGS/meshes/FL_Link5.STL,,末端-3;dm_3507_3d-241021-10,FL_C_Joint5,FL_A_Joint5,FL_Joint5,revolute,0,-0.1374,0,-1.5708,0,3.1416,FL_Link4,0,0,-1,1,15.7,-3.14,3.14,,,,,,,,
FL_Link6,-0.00033026,2.3415E-10,0.033535,0,0,0,0.081023,1.9947E-05,-1.2843E-13,3.4852E-08,2.9441E-05,-4.6736E-13,1.7748E-05,0,0,0,0,0,0,package://4LEGS/meshes/FL_Link6.STL,1,1,1,1,0,0,0,0,0,0,package://4LEGS/meshes/FL_Link6.STL,,轮足棘爪手-3/轮足手_基座_2-1;轮足棘爪手-3/单爪-1;轮足棘爪手-3/单爪-2,FL_C_Joint6,FL_A_Joint6,FL_Joint6,revolute,0,0.0184,0.035,-1.5708,0,0,FL_Link5,0,0,-1,1,15.7,-3.14,3.14,,,,,,,,
FL_Wheel1,-7.08634539936526E-16,5.27355936696949E-16,-0.01,0,0,0,0.0517296128779226,2.67967063887144E-05,-1.59921585093585E-22,-3.73207471600524E-21,2.67967063887144E-05,9.74403863878353E-21,1.00310015763558E-05,0,0,0,0,0,0,package://4LEGS/meshes/FL_Wheel1.STL,0,0,0,1,0,0,0,0,0,0,package://4LEGS/meshes/FL_Wheel1.STL,,轮足棘爪手-3/轮足手_轮-1,FL_C_Wheel1,FL_A_Wheel1,FL_Wheel1_Joint,continuous,-0.049105,0.01,0.067384,-1.5708,0,0,FL_Link6,0,0,-1,,,,,,,,,,,,
FL_Wheel2,-4.71844785465692E-16,-6.52256026967279E-16,-0.01,0,0,0,0.0517296128779226,2.67967063887145E-05,-7.24513712191655E-22,-3.61249558864784E-21,2.67967063887145E-05,3.37326611334565E-22,1.00310015763558E-05,0,0,0,0,0,0,package://4LEGS/meshes/FL_Wheel2.STL,0,0,0,1,0,0,0,0,0,0,package://4LEGS/meshes/FL_Wheel2.STL,,轮足棘爪手-3/轮足手_轮-2,FL_C_Wheel2,FL_A_Wheel2,FL_Wheel2_Joint,continuous,0.0440608248409076,0.0100000000000001,0.0715092286273415,-1.5707963267949,0,0,FL_Link6,0,0,1,,,,,,,,,,,,
FR_Link1,-0.00754139194392652,-4.54555813430221E-05,0.0386041787236715,0,0,0,0.252436609586881,0.000163602528163608,1.57363059587713E-08,-2.36314053386418E-06,0.000165924290339497,-3.68293533444429E-08,0.000147109665577711,0,0,0,0,0,0,package://4LEGS/meshes/FR_Link1.STL,0.854901960784314,0.854901960784314,0.854901960784314,1,0,0,0,0,0,0,package://4LEGS/meshes/FR_Link1.STL,,JOINT1-3;电机垫板-2;关节-10/dm_4340__3d20240822_1(2)(1).stp-1/DM_4340__3D20240325_1_4.stp-1/G43_V1_1_3-230824_4.stp-1;关节-10/dm_4340__3d20240822_1(2)(1).stp-1/DM_4340__3D20240325_1_4.stp-1/4310__VER_B0001_1_1_1_1_4.stp-1;关节-10/dm_4340__3d20240822_1(2)(1).stp-1/DM_4340__3D20240325_1_4.stp-1/DM_4340_3D_1_1_1_1_4.stp-1,FR_C_Joint1,FR_A_Joint1,FR_Joint1,revolute,-0.0017,-0.026945,-0.045,1.5708,0,1.5708,base_link,0,0,-1,9,3.77,-3.14,3.14,,,,,,,,
