Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.013643004895774,7.93162980589689E-07,0.0859988058711454,0,0,0,3.10945390199589,0.00934001308296876,-1.9041605187863E-09,1.49895631162145E-07,0.0217925945259764,-3.80295188181027E-08,0.0240800105411559,0,0,0,0,0,0,package://twoleg_foot_link/meshes/base_link.STL,0,0,0,1,0,0,0,0,0,0,package://twoleg_foot_link/meshes/base_link.STL,,双足body-1;关节-3/dm_4340__3d20240822_1(2)(1).stp-1/DM_4340__3D20240325_1_4.stp-1/DM_4340_3D_1_1_1_1_4.stp-1;关节-1/dm_4340__3d20240822_1(2)(1).stp-1/DM_4340__3D20240325_1_4.stp-1/DM_4340_3D_1_1_1_1_4.stp-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Left_Link1,0.0079825523298408,-4.50865902585394E-05,0.0367881420274613,0,0,0,0.238485739146011,0.00016047963206388,-1.70377510394896E-08,2.36990442421365E-06,0.000162839075296289,8.40873201521934E-08,0.000140875618411013,0,0,0,0,0,0,package://twoleg_foot_link/meshes/Left_Link1.STL,0.854901960784314,0.854901960784314,0.854901960784314,1,0,0,0,0,0,0,package://twoleg_foot_link/meshes/Left_Link1.STL,,JOINT1-2;关节-4/dm_4340__3d20240822_1(2)(1).stp-1/DM_4340__3D20240325_1_4.stp-1/4310__VER_B0001_1_1_1_1_4.stp-1;关节-4/dm_4340__3d20240822_1(2)(1).stp-1/DM_4340__3D20240325_1_4.stp-1/DM_4340_3D_1_1_1_1_4.stp-1,J1_L,A_J1_L,Left_Joint1,revolute,0.126001345954292,0,0.0577144013466578,3.14159265358979,-0.785398163397443,0,base_link,0,0,-1,9,4,-2.093,2.093,,,,,,,,
Left_Link2,-2.59212361961045E-05,-0.0478095316134823,-0.0104737983474142,0,0,0,0.124068775292257,8.2152871682514E-05,-6.24494359433284E-09,-3.57216894518165E-08,3.44293185125146E-05,2.83186405787448E-06,9.22034985201146E-05,0,0,0,0,0,0,package://twoleg_foot_link/meshes/Left_Link2.STL,1,1,1,1,0,0,0,0,0,0,package://twoleg_foot_link/meshes/Left_Link2.STL,,LEG1-2;dm_3507_3d-241021-4,J2_L,A_J2_L,Left_Joint2,revolute,0.04275,0,0.0410500000000001,-1.5707963267949,0,1.5707963267949,Left_Link1,0,0,-1,9,4,-2.093,2.093,,,,,,,,
Left_Link3,1.115432175216E-05,-0.0160034117315548,-0.0377275570862976,0,0,0,0.154593855527533,7.48360086999987E-05,8.92895374741489E-09,2.87062145894065E-08,8.38191871420754E-05,-8.95868503158221E-06,6.20708624383725E-05,0,0,0,0,0,0,package://twoleg_foot_link/meshes/Left_Link3.STL,1,1,1,1,0,0,0,0,0,0,package://twoleg_foot_link/meshes/Left_Link3.STL,,JOINT2_2-2;DM-J4310-2EC-2,J3_L,A_J3_L,Left_Joint3,revolute,0,-0.0969,-0.0110500000000001,-1.5707963267949,0,0,Left_Link2,0,0,-1,1,15,-3.14,3.14,,,,,,,,
Left_Link4,5.79600776105718E-05,-0.0716988597958203,0.00570636373232708,0,0,0,0.145990900684867,0.000190396621110576,7.81613638782874E-07,9.31454388057964E-08,3.62993395743349E-05,-1.86542623690101E-05,0.000193175937759761,0,0,0,0,0,0,package://twoleg_foot_link/meshes/Left_Link4.STL,1,1,1,1,0,0,0,0,0,0,package://twoleg_foot_link/meshes/Left_Link4.STL,,LEG2_3-2;dm_3507_3d-241021-5,J4_L,A_J4_L,Left_Joint4,revolute,0,0.00799999999999998,-0.0409999999999999,1.5707963267949,0,-3.14159265358979,Left_Link3,0,0,-1,3,12,-2.093,2.093,,,,,,,,
Left_Link5,-5.31128774811907E-05,0.00235248627116813,0.0301999304388426,0,0,0,0.0964184787571057,3.34601332651236E-05,7.71338632741261E-09,-1.99376169154418E-08,3.88654105004541E-05,-3.79290943057307E-06,2.75749493418456E-05,0,0,0,0,0,0,package://twoleg_foot_link/meshes/Left_Link5.STL,1,1,1,1,0,0,0,0,0,0,package://twoleg_foot_link/meshes/Left_Link5.STL,,末端-2;dm_3507_3d-241021-6,J5_L,A_J5_L,Left_Joint5,revolute,0,-0.1364,0.001,1.5708,0,0,Left_Link4,0,0,-1,1,15,-3.14,3.14,,,,,,,,
Left_Link6,8.03632821800492E-19,-5.55111512312578E-17,0.00600000000000012,0,0,0,0.00706858347057702,4.56512682474766E-07,4.47185316823312E-24,5.32502121779042E-23,4.56512682474766E-07,-6.6174449004241E-23,7.95215640439915E-07,0,0,0,0,0,0,package://twoleg_foot_link/meshes/Left_Link6.STL,1,1,1,1,0,0,0,0,0,0,package://twoleg_foot_link/meshes/Left_Link6.STL,,foot_link-2,J6_L,A_J6_L,Left_Joint6,revolute,0,-0.0174,0.036,-1.5708,0,3.1416,Left_Link5,0,0,-1,1,15,-3.14,3.14,,,,,,,,
Left_Foot,2.22044604925031E-16,3.81827202897513E-17,0.0195816701322208,0,0,0,0.0394934474548919,7.20293359743238E-06,-1.99514292633184E-22,-8.47032947254282E-22,7.20293359743238E-06,2.5976478581316E-22,7.80281784174379E-06,0,0,0,0,0,0,package://twoleg_foot_link/meshes/Left_Foot.STL,1,1,1,1,0,0,0,0,0,0,package://twoleg_foot_link/meshes/Left_Foot.STL,,foot-2,Foot_L,A_Foot_L,Left_Foot_Joint,fixed,0,0,0.011,0,0,-1.5708,Left_Link6,0,0,0,,,,,,,,,,,,
Right_Link1,-0.00798255232481621,-3.17460933430338E-05,0.0367341196326673,0,0,0,0.238485739194803,0.00016047963210501,9.86789665342907E-09,-2.3509981898915E-06,0.000162935769054922,-1.00610547185295E-07,0.000140778924712756,0,0,0,0,0,0,package://twoleg_foot_link/meshes/Right_Link1.STL,1,1,1,1,0,0,0,0,0,0,package://twoleg_foot_link/meshes/Right_Link1.STL,,关节-2/dm_4340__3d20240822_1(2)(1).stp-1/DM_4340__3D20240325_1_4.stp-1/DM_4340_3D_1_1_1_1_4.stp-1;关节-2/dm_4340__3d20240822_1(2)(1).stp-1/DM_4340__3D20240325_1_4.stp-1/4310__VER_B0001_1_1_1_1_4.stp-1;JOINT1-1,J1_R,A_J1_R,Right_Joint1,revolute,-0.153287975927055,0,0.0577144013466578,3.14159265358979,0.785398163397443,0,base_link,0,0,-1,9,4,-2.093,2.093,,,,,,,,
Right_Link2,-0.0478095323053693,-2.11778235935096E-07,0.0108020452989008,0,0,0,0.124068777086544,3.44293184238918E-05,-1.10599914290492E-08,-2.84637782291539E-06,8.21279974534663E-05,2.72559241935656E-09,9.22283725821581E-05,0,0,0,0,0,0,package://twoleg_foot_link/meshes/Right_Link2.STL,1,1,1,1,0,0,0,0,0,0,package://twoleg_foot_link/meshes/Right_Link2.STL,,LEG1-1;dm_3507_3d-241021-1,J2_R,A_J2_R,Right_Joint2,revolute,-0.0425,0,0.0410499999999999,3.14159265358979,1.5707963267949,0,Right_Link1,0,0,-1,9,4,-2.093,2.093,,,,,,,,
